brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,crawl_date
VietJet Air,2.376.000 VND/khách,06:15,03 thg 5,08:15,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
Bamboo Airways,2.756.225 VND/khách,20:05,03 thg 5,22:10,03 thg 5,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
VietJet Air,2.804.000 VND/khách,09:15,03 thg 5,11:15,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
VietJet Air,2.977.000 VND/khách,21:10,03 thg 5,23:05,03 thg 5,1h 55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
VietJet Air,2.977.000 VND/khách,14:05,03 thg 5,16:05,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
VietJet Air,2.977.000 VND/khách,16:10,03 thg 5,18:10,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
Vietnam Airlines,3.121.958 VND/khách,07:45,03 thg 5,09:45,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
Vietnam Airlines,3.121.958 VND/khách,13:20,03 thg 5,15:25,03 thg 5,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
Vietnam Airlines,3.378.331 VND/khách,20:30,03 thg 5,22:30,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
VietJet Air,3.409.000 VND/khách,20:10,03 thg 5,22:10,03 thg 5,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",07-04-2025
