brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
Vietnam Airlines,1.232.766 VND/khách,17:25,09 thg 5,18:20,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,20-04-2025
VietJet Air,1.286.775 VND/khách,09:55,09 thg 5,10:50,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,20-04-2025
Vietnam Airlines,1.380.618 VND/khách,05:45,09 thg 5,06:40,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,20-04-2025
Vietnam Airlines,1.488.510 VND/khách,10:15,09 thg 5,11:10,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,20-04-2025
